id,title,time,lat,lng,decreepart
9521284,В Невском районе Петербурга задержан подозреваемый в дерзком разбое,2017-02-22 10:35:00,59.9145489,30.4366771,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9520825,В Невском районе Петербурга раскрыто разбойное нападение на таксиста,2017-02-22 10:03:00,59.90888099999999,30.430584,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9519873,В Московском районе Петербурга полиция расследует разбойное нападение на автовладельца,2017-02-22 09:08:00,60.07623830000001,30.121383,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9515902,В Санкт-Петербурге задержан подозреваемый в преступлении сексуального характера в отношении несовершеннолетней,2017-02-21 16:01:00,59.9342802,30.3350986,ч.4 ст.132 (Насильственные Действия Сексуального Характера); Уголовный Кодекс; Россия
9511533,"Полиция разыскивает злоумышленника, подозреваемого в совершении преступления сексуального характера в отношении несовершеннолетней",2017-02-21 14:46:00,59.9342802,30.3350986,ч.4 ст.132 (Насильственные Действия Сексуального Характера); Уголовный Кодекс; Россия
9508785,Раскрыто разбойное нападение на таксиста в Невском районе Санкт-Петербурга,2017-02-21 09:13:00,59.8650547,30.4214587,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9509372,"В Санкт-Петерубрге полицией задержан подросток, избивший своего сверстника",2017-02-20 18:00:00,59.6842645,30.4412519,ч.2 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
9498850,Полицией раскрыта октябрьская кража иномарки в Шушарах,2017-02-20 09:10:00,59.8110245,30.3689351,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9484940,В Санкт-Петербурге раскрыта серия квартирных краж почти на полмиллиона рублей,2017-02-17 09:30:00,59.85276,30.308088,"ч.3 ст.158 (Кража, Совершенная с Незаконным Проникновение в Жилище); Уголовный Кодекс; Россия"
9484922,В Кировском районе Петербурга с поличным задержан вор-«карманник»,2017-02-17 09:27:00,60.07623830000001,30.121383,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9484751,"Злоумышленник, ограбивший 89-летнего жителя Бокситогорска, задержан",2017-02-17 09:11:00,60.07623830000001,30.121383,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9473861,В двух районах Петербурга полицейские проверили соблюдение норм миграционного законодательства,2017-02-15 17:54:00,60.07623830000001,30.121383,ст.18.8 (Нарушение Иностранным Гражданином Или Лицом Без Гражданства Правил Въезда в Российскую Федерацию Либо...); Кодекс Об Административных Правонарушениях; Россия
